Team,IP,ERA,TBF,H,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA
Angels,861,0,3877,1164,0,0,0,0,0,0,0,0.3,0.306,0.386,0.296
Orioles,858.2,0,3830,1110,0,0,0,0,0,0,0,0.29,0.293,0.385,0.29
Red Sox,657.2,0,3019,909,0,0,0,0,0,0,0,0.301,0.307,0.396,0.301
White Sox,897.2,0,3986,1138,0,0,0,0,0,0,0,0.285,0.291,0.371,0.283
Indians,731.2,0,3228,892,0,0,0,0,0,0,0,0.276,0.282,0.374,0.28
Tigers,581.1,0,2669,800,0,0,0,0,0,0,0,0.3,0.308,0.4,0.3
Royals,630.1,0,2892,864,0,0,0,0,0,0,0,0.299,0.306,0.395,0.299
Twins,838,0,3724,1073,0,0,0,0,0,0,0,0.288,0.294,0.374,0.285
Yankees,1082.1,0,4949,1505,0,0,0,0,0,0,0,0.304,0.308,0.399,0.302
Athletics,768.2,0,3513,1014,0,0,0,0,0,0,0,0.289,0.294,0.373,0.284
Mariners,995.1,0,4420,1272,0,0,0,0,0,0,0,0.288,0.292,0.366,0.282
Rays,1361.1,0,5999,1692,0,0,0,0,0,0,0,0.282,0.286,0.36,0.277
Rangers,776.2,0,3539,1030,0,0,0,0,0,0,0,0.291,0.295,0.37,0.285
Blue Jays,892.1,0,3963,1140,1,0,0,0,0,0,0,0.288,0.291,0.377,0.285
Diamondbacks,690,0,3107,888,0,0,0,0,0,0,0,0.286,0.296,0.387,0.291
Braves,669.2,0,3007,850,0,0,0,0,0,0,0,0.283,0.298,0.397,0.294
Cubs,467,0,2107,572,0,0,0,0,0,0,0,0.271,0.283,0.373,0.279
Reds,719.2,0,3261,966,0,0,0,0,0,0,0,0.296,0.311,0.406,0.305
Rockies,831.1,0,3898,1213,0,0,0,0,0,0,0,0.311,0.323,0.434,0.322
Marlins,576,0,2698,817,0,0,0,0,0,0,0,0.303,0.321,0.417,0.313
Astros,1525.2,0,6911,2097,0,0,0,0,0,0,0,0.303,0.306,0.404,0.304
Dodgers,572,0,2603,750,0,0,0,0,0,0,0,0.288,0.3,0.376,0.289
Brewers,1044.2,0,4863,1475,0,0,0,0,0,0,0,0.303,0.31,0.402,0.305
Nationals,552.1,0,2499,708,0,0,0,0,0,0,0,0.283,0.298,0.388,0.292
Mets,480.2,0,2190,637,0,0,0,0,0,0,0,0.291,0.313,0.406,0.306
Phillies,549.1,0,2486,713,0,0,0,0,0,0,0,0.287,0.303,0.399,0.298
Pirates,1141.1,0,5286,1628,0,0,0,0,0,0,0,0.308,0.316,0.407,0.309
Cardinals,578,0,2653,768,0,0,0,0,0,0,0,0.289,0.305,0.389,0.296
Giants,704.2,0,3232,969,0,0,0,0,0,0,0,0.3,0.311,0.415,0.309
Padres,674.2,0.01,3068,879,1,1,0,0,0,0,0,0.287,0.296,0.394,0.293